scene_id,probe_id,classification,reason,n_open,open_dirs,decision_dir,goalA_dir,goalB_dir,branch_sep_deg,goalA_depth_m,goalB_depth_m,branch_dino_cosine,eye_x,eye_y,depth_E,depth_N,depth_W,depth_S
warehouse_multiple_shelves,p02,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,5.489,12.559,0.597,-5.393,5.154,5.489,12.559,4.937,17.354
warehouse_multiple_shelves,p12,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,11.196,12.846,0.533,-2.866,5.154,11.196,12.846,6.104,17.354
warehouse_multiple_shelves,p22,COLLINEAR_AISLE_NOT_JUNCTION,"STRAIGHT AISLE: one through-axis open (E-W), the perpendicular axis is not a full crossing — two ends of one aisle, not an angular fork",3,E|W|S,W,E,S,90.0,8.669,7.713,0.414,-0.339,5.154,8.669,1.225,8.631,7.713
warehouse_multiple_shelves,p32,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,N,W,90.0,12.846,11.158,0.545,2.188,5.154,6.142,12.846,11.158,17.354
warehouse_multiple_shelves,p42,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,N,W,90.0,12.817,5.451,0.62,4.715,5.154,4.697,12.817,5.451,17.354
warehouse_multiple_shelves,p03,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,5.054,6.89,0.604,-5.393,7.562,5.054,6.89,4.937,19.762
warehouse_multiple_shelves,p13,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,E,N,90.0,10.133,10.438,0.607,-2.866,7.562,10.133,10.438,6.172,19.733
warehouse_multiple_shelves,p23,WALL_ONLY,"straight corridor (2 opposite open, no choice)",2,E|W,,,,,,,,-0.339,7.562,8.626,1.186,8.631,0.614
warehouse_multiple_shelves,p33,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,N,W,S,90.0,10.931,19.733,0.569,2.188,7.562,6.1,10.438,10.931,19.733
warehouse_multiple_shelves,p43,OPEN_FLOOR_NOT_JUNCTION,"OPEN FLOOR: all 4 cardinal dirs depth >= 4.0 m (no bounding corridor walls) — open hall (or a wide 4-way that visual verification must distinguish), not auto-confirmed as a branch-choice junction",4,E|N|W|S,S,N,W,90.0,6.541,4.76,0.568,4.715,7.562,4.381,6.541,4.76,19.762
warehouse_multiple_shelves,p04,RENDER_VALID_BUT_VISUALLY_WEAK,branches not distinct (DINO 0.639),4,E|N|W|S,N,E,S,90.0,4.678,22.17,0.639,-5.393,9.97,4.678,4.168,3.652,22.17
warehouse_multiple_shelves,p14,COLLINEAR_AISLE_NOT_JUNCTION,"STRAIGHT AISLE: one through-axis open (N-S), the perpendicular axis is not a full crossing — two ends of one aisle, not an angular fork",3,N|W|S,S,N,W,90.0,8.03,6.175,0.521,-2.866,9.97,2.636,8.03,6.175,21.97
warehouse_multiple_shelves,p24,WALL_ONLY,"boxed/dead-end (0 open, walls <3.0m)",0,,,,,,,,,-0.339,9.97,0.054,0.187,0.126,0.075
warehouse_multiple_shelves,p34,COLLINEAR_AISLE_NOT_JUNCTION,"STRAIGHT AISLE: one through-axis open (N-S), the perpendicular axis is not a full crossing — two ends of one aisle, not an angular fork",3,E|N|S,S,E,N,90.0,6.097,8.03,0.54,2.188,9.97,6.097,8.03,2.233,21.97
warehouse_multiple_shelves,p44,RENDER_VALID_BUT_VISUALLY_WEAK,branches not distinct (DINO 0.608),4,E|N|W|S,E,W,S,90.0,4.758,22.141,0.608,4.715,9.97,4.055,3.494,4.758,22.141
