id,when,where,what,why,how_fixed,commands,validation
ISS-012,Voice input validation,/fleetsafe/instruction_voice,"I needed to prove voice is a first-class input path, not only text.",A serious VLN robot must accept natural spoken instructions when the platform has a voice module.,I published a voice transcript to /fleetsafe/instruction_voice and recorded the resulting trace/certificate.,"ros2 topic pub --once /fleetsafe/instruction_voice std_msgs/msg/String ""{data: 'move forward slowly while avoiding nearby obstacles'}""","The certificate source field became voice, camera_seen=true, qp_status=optimal, and the trace included raw_instruction plus grounded avoid=obstacles."
ISS-013,Topic watchers,"make vln-watch-parsed, vln-watch-nominal, vln-watch-cert",Watchers reported that topics did not exist.,"ROS 2 topics are not visible until the controller is running and, for some outputs, until an instruction has been processed.",I kept the controller terminal open and sent a test instruction before expecting latched-like data.,"make vln-desktop-radius RADIUS=0.20; make vln-send TEXT=""move forward slowly""; make vln-watch-cert","Parsed instruction, nominal Twist, and certificate JSON were printed by watcher targets."
ISS-014,Safety radius alignment,check_vln_stack.sh and Makefile,The checker displayed radius 0.30 m while the controller was launched with radius 0.20 m.,The checker used a default rather than respecting the SAFETY_RADIUS environment variable.,I changed the target to pass SAFETY_RADIUS=${SAFETY_RADIUS:-default}.,SAFETY_RADIUS=0.20 make vln-check-stack,The health check header displayed Safety radius: 0.20 m.
ISS-015,Repository hygiene,Git history and evidence directory,Many raw run directories appeared as untracked files.,"Each dry-run creates timestamped results. Most are ephemeral evidence, not all should be committed.",I selected one clean evidence package and committed only results/demo_evidence_voice_vln_real_robot.,"git add results/demo_evidence_voice_vln_real_robot/; git commit -m ""evidence: add voice-conditioned real-robot VLN safety trace""; git push origin main","Commit 8bef749 contains the voice certificate, trace, pretty JSON files, and README."
ISS-016,Evidence lookup after leaving the repository,Home directory shell,The command `ls -td results/certificates/*` failed with no such file or directory.,"I was in `~` rather than `~/robotics/FleetSafe-VisualNav-Benchmark`, so the relative results path was wrong.",I made `cd ~/robotics/FleetSafe-VisualNav-Benchmark` the first line of every evidence-inspection block.,"cd ~/robotics/FleetSafe-VisualNav-Benchmark
LATEST_CERT=""$(ls -td results/certificates/* | head -1)""",The JSON certificate printed correctly after running from the repository root.
ISS-017,Stale LiDAR emergency stop,Desktop controller terminal,The controller reported `LiDAR stale (... > 1.0s). Emergency stop.`,"The controller had not received fresh scan messages within the freshness timeout, either because the Jetson stack was not active or discovery was inconsistent.",I verified the Jetson scan rates and restarted the controller only after live scan data appeared.,"timeout 5s ros2 topic hz /scan0
timeout 5s ros2 topic hz /scan1","Both scans reported roughly 7 Hz, after which stale_lidar was no longer the blocker."
ISS-018,Safety radius conflict with physical scene,/scan1 live LiDAR,The robot stopped even at a 0.30 m safety radius.,"The physical scene had objects around 0.28 m from the scanner, so the controller was correct to block motion.",I did not override the safety layer; I used radius 0.20 only for dry-run evidence in a tight space and kept live motion disabled.,make vln-desktop-radius RADIUS=0.20,The certificate changed from cbf_infeasible to safe=true only when effective clearance exceeded the active radius.
ISS-019,Non-latched ROS 2 outputs,ROS topic watchers,The parsed/certificate watchers sometimes missed messages.,"The FleetSafe output topics are volatile ROS 2 topics, not durable latched topics. A watcher that starts after the message can miss it.","I documented that watchers should be started before sending the instruction, and that the JSONL files are the durable evidence source.","make vln-watch-cert
make vln-send TEXT=""move forward slowly""","The watcher displayed the certificate when active before or near the time of publication, and JSONL always preserved it."
ISS-020,Unsupported QoS command flag,ROS 2 Humble CLI,`ros2 topic hz /camera/color/image_raw --qos-profile sensor_data` failed.,The installed ROS 2 CLI version did not support that argument for the command being used.,I used the supported command and verified publisher count with `ros2 topic info -v`.,"ros2 topic info /camera/color/image_raw -v
timeout 10s ros2 topic hz /camera/color/image_raw",Publisher count became 1 and frame rate printed around 1 Hz.
ISS-021,Controller already running,Desktop shell,`make vln-desktop-radius` refused to launch because run_vln_m3pro.py was already running.,The wrapper intentionally prevents multiple controllers from competing for the same topics.,I killed stale controller processes before relaunching or kept the running terminal open.,"pkill -9 -f ""run_vln_m3pro.py"" 2>/dev/null || true",A clean launch produced a fresh timestamped trace and certificate directory.
ISS-022,Dry-run decision looked like no motion,Certificate JSON,The decision field was `dry_run_zero` even when the safety filter produced a nonzero safe command.,Dry-run mode intentionally publishes zero to `/cmd_vel` while still recording the safe command that would have been sent in live mode.,I documented the distinction between `u_safe` and the actual dry-run output to prevent overclaiming.,"tail -n 1 ""$LATEST_CERT""/vln_certificates_m3pro.jsonl | python3 -m json.tool","The certificate showed u_safe=[0.040...,0.0], dry_run=true, decision=dry_run_zero."
ISS-023,Emergency stop latch after infeasible CBF,Controller state,"Once CBF infeasible occurred, later commands could be ignored or blocked.",A latched e-stop is safer than silently resuming after a hard safety violation.,I restarted the controller after moving the robot or changing the dry-run radius.,"pkill -9 -f ""run_vln_m3pro.py""; make vln-desktop-radius RADIUS=0.20",The new run created new result directories and processed a later instruction normally.
ISS-024,Camera frame arrived after first instruction,Certificate camera fields,Some certificates showed `camera_seen=false` or camera age null.,The controller had not yet received a camera frame before the instruction was processed.,I waited for the first-camera-frame log before sending the evidence instruction.,"timeout 10s ros2 topic hz /camera/color/image_raw
make vln-send TEXT=""move forward slowly...""",Later certificates showed camera_seen=true and frame_id=camera_color_optical_frame.
ISS-025,Camera rate is low for future live motion,Camera topic,Camera rate was about 1 Hz.,"For dry-run evidence this proves vision connectivity, but for fast live motion it may be too slow depending on control speed and environment.",I bounded the current claim to dry-run evidence and listed camera-rate stabilization as a live-motion prerequisite.,timeout 10s ros2 topic hz /camera/color/image_raw,The rate was measured and documented rather than ignored.
ISS-026,Local modifications present while committing evidence,Git working tree,"`git status --short` showed modified Makefile, audit logs, and untracked results.",Debugging creates local changes and many timestamped run outputs.,I committed only the curated demo evidence folder and left incidental logs out of the evidence commit.,"git add results/demo_evidence_voice_vln_real_robot/
git commit -m ""evidence: add voice-conditioned real-robot VLN safety trace""",Commit 8bef749 contained exactly five evidence files.
ISS-027,Terminal copy-paste caused accidental commands,Shell,"A JSON field such as `""camera_seen"": false` was pasted as a shell command and caused `command not found`.",Human-in-the-loop debugging with many terminals makes copy-paste errors easy.,I separated command blocks from output blocks in the reproducible manuscript and evidence package.,python3 -m json.tool results/demo_evidence_voice_vln_real_robot/latest_voice_certificate_pretty.json,Pretty JSON files prevent raw output from being confused with commands.
