folder,classification,rationale,scene_gate,prim_contact,camera_raise_m,resolution,black_band_frac,img_count,path_length_m,collisions,goal_id,controller_actual,in_h7r_root,immutable,eligible_for_h8_train_val_test,h8_exclusion_reason
h2_ft_H_a_20260709_005345,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,949,2.0958,3610,h2_long_turn_H,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_H_b_20260709_075342,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,947,1.6862,3860,h2_long_turn_H,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_J_a_20260709_042726,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,846,6.9632,0,h2_weave_J,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_J_b_20260709_113328,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,848,6.9635,0,h2_weave_J,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_K_a_20260709_061333,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,745,2.1725,2294,h2_near_desk_K,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_K_b_20260709_132427,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,745,1.8619,2547,h2_near_desk_K,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_ft_L_solo2_20260710_011212,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,1017,8.4608,385,h2_test_long_L,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_td_J_r2_20260709_213519,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1679,6.9771,0,h2_weave_J,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_td_K_solo_20260709_234012,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,136,0.2697,0,h2_near_desk_K,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_td_L_20260709_213517,DIAGNOSTIC_EVIDENCE,hospital prim-contact evidence only; no scene-identity gate,False,True,,640x480,0.3833,1998,8.5895,314,h2_test_long_L,learned_gnm_driving,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h2_td_L_20260709_232740,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,44,,,,unlabelled,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_000_a_20260711_062032,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3854,2124,5.7837,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_000_b_20260711_063635,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2108,5.9411,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_001_a_20260711_065059,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2117,3.9528,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_001_b_20260711_072642,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2117,3.7204,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_002_a_20260711_074612,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1942,6.916,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_002_b_20260711_080010,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2120,7.1635,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_005_a_20260711_081529,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2089,5.4159,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_005_b_20260711_083211,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2115,5.4623,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_007_a_20260711_084715,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2108,3.0084,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_007_b_20260711_090144,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2119,3.0834,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_008_a_20260711_113523,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2120,2.6496,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_008_b_20260711_115029,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2124,2.7239,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_009_a_20260711_091557,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2119,3.6614,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_009_b_20260711_093348,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2119,3.5932,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_011_a_20260711_095129,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1943,2.641,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_011_b_20260711_100853,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2121,2.7234,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_012_a_20260711_120600,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2110,1.9135,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_012_b_20260711_122325,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2108,2.1833,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_013_a_20260711_102623,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2122,5.2052,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_013_b_20260711_104420,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2120,4.9519,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_015_a_20260711_110153,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2125,5.1628,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_016_a_20260711_123934,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2110,5.9552,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_016_b_20260711_125743,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1931,5.7004,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h4rec_h4_navgen_31_017_a_20260711_111916,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,1933,4.7479,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6_smoke_uturn01_20260712_170136,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,277,0.7849,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6_smoke_uturn01_full_20260712_171140,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,2128,8.252,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_chain_01_a_20260712_202208,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2125,7.7401,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_chain_01_b_20260712_203554,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2127,7.7401,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_chain_02_a_20260712_230437,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2125,9.0593,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_chain_02_b_20260712_231754,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2125,9.0593,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_compound_01_a_20260712_220936,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2113,7.1144,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_compound_01_b_20260712_222300,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2127,7.1144,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_ftL_01_a_20260712_205017,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2126,6.6071,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_ftL_01_b_20260712_210254,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2127,6.6071,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_sharpmulti_01_a_20260712_211543,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2079,7.3895,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_sharpmulti_01_b_20260712_212824,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2119,7.3895,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_tightcorr_01_a_20260712_214230,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2126,6.7485,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_tightcorr_01_b_20260712_215508,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2116,6.7485,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_uturn_01_a_20260712_195504,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,0.3833,2125,8.252,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_uturn_01_b_20260712_200832,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2125,8.252,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_uturn_02_a_20260712_223754,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2130,8.4585,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h6rec_h6_uturn_02_b_20260712_225103,DIAGNOSTIC_EVIDENCE,no admissible scene provenance,False,False,,640x480,,2126,8.4585,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_corridor_01_20260714_004338,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.3833,2090,3.1212,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_corridor_02_20260714_010145,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.3146,2117,3.2405,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_reception_01_20260714_000815,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.3833,2108,5.7612,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_reception_01_smoke_20260713_231058,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.3833,2122,5.7612,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_reception_02_20260714_002503,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.3854,2110,5.439,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_turn_01_20260714_011847,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.0021,2122,2.3931,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_turn_02_20260714_013617,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.0021,2119,2.1083,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_waiting_01_20260714_015109,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.3833,2108,4.9656,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h7_waiting_02_20260714_020630,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,,640x480,0.1625,2119,4.2906,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_searchW1_20260715_001801,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,0.12,640x480,0.0,1439,0.5031,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
h8mx_searchW2_20260715_002949,DIAGNOSTIC_EVIDENCE,gate-verified hospital but fails an image or motion criterion,True,False,0.12,640x480,0.0,1454,0.3,0,h2_weave_J,scripted_expert,,YES,NO,640x480 below canonical 1280x720 AND no episode-specific goal image
